Name
Natalie Portman
Jennifer Lawrence
Rachel McAdams
Lesley Manville
Hilary Swank
Carey Mulligan
Tilda Swinton
Michelle Williams
Dianne Wiest
Amy Adams
Saoirse Ronan
Annette Bening
Rooney Mara
Anne Hathaway
Helena Bonham Carter
Juliette Binoche
Nicole Kidman
Melissa Leo
Julianne Moore
Hailee Steinfeld
Leonardo DiCaprio
Tom Hanks
Sean Penn
Johnny Depp
Morgan Freeman
Robert Downey Jr.
Jamie Foxx
Will Smith
Anthony Hopkins
George Clooney
Christoph Waltz
Daniel Day-Lewis
Russell Crowe
Don Cheadle
Matt Damon
Jim Carrey
Liam Neeson
Forest Whitaker
Denzel Washington
Heath Ledger
Christian Bale
Philip Seymour Hoffman
Brad Pitt
Edward Norton
Tom Cruise
