"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"1","'Luv Shuv Tey Chicken Khurana","UTV Communications",407,-17,38,11,143900,14,2012-11-15
"2","‘85 The Greatest Team in …","Fathom Events",115463,NA,199,580,115463,1,2018-01-29
"3","’71","Roadside Attractions",15867,-37,4,3967,55761,3,2015-03-01
"4","10 Cloverfield Lane","Paramount Pictures",11414,32,120,95,72082999,84,2016-06-02
"5","10 Years","Anchor Bay Entertai…",757,23,21,36,203654,28,2012-10-11
"6","102 Not Out","Sony Pictures",2806,-48,17,165,1339909,31,2018-06-03
"7","12 O’Clock Boys","Oscilloscope Pictures",10705,NA,6,1784,67719,14,2014-02-13
"8","12 Strong","Warner Bros.",4502,8,95,47,45500164,70,2018-03-29
"9","12 Years a Slave","Fox Searchlight",5284,13,53,100,56634802,189,2014-04-24
"10","13 Hours: The Secret Soldie…","Paramount Pictures",8425,19,110,77,52853219,70,2016-03-24
"11","2 Guns","Universal",9515,1,135,70,75612460,85,2013-10-24
"12","2 States","UTV Communications",1066,22,4,267,2224195,38,2014-05-25
"13","2001: A Space Odyssey","Warner Bros.",4302,NA,4,1076,57978430,18367,2018-07-15
"14","2016: Obama’s America","Rocky Mountain Pict…",130887,NA,1216,108,32534436,77,2012-09-27
"15","20th Century Women","A24",186,195,3,62,5664763,131,2017-05-04
"16","21 and Over","Relativity",1446,-16,37,39,25682380,77,2013-05-16
"17","21 Jump Street","Sony Pictures",28087,-17,141,199,138447667,108,2012-07-01
"18","22 Jump Street","Sony Pictures",17422,-39,118,148,191719337,157,2014-11-16
"19","3 Days to Kill","Relativity",2546,11,42,61,30697999,84,2014-05-15
"20","3 Idiotas","Lionsgate",1976,-10,42,47,1249233,28,2017-06-29
"21","30 Beats","Roadside Attractions",58,152,2,29,14686,10,2012-07-29
"22","300: Rise of an Empire","Warner Bros.",3899,29,71,55,106580051,84,2014-05-29
"23","42","Warner Bros.",5111,18,85,60,95020213,105,2013-07-25
"24","47 Meters Down","Entertainment Studi…",10,-44,1,10,44307193,124,2017-10-17
"25","47 Ronin","Universal",14005,-5,174,80,38362475,44,2014-02-06
"26","5 de Mayo, La Batalla","Lionsgate",281,-74,25,11,173472,21,2013-05-23
"27","5 Flights Up","Focus Features",2181,15,22,99,1020921,49,2015-06-25
"28","50 to 1","Ten Furlongs",290,42,1,290,1069454,210,2014-10-16
"29","7 Days in Entebbe","Focus Features",43510,-33,836,52,3189220,14,2018-03-29
"30","9/11","Atlas Distribution",48000,-28,398,121,172000,3,2017-09-10
"31","90 Minutes in Heaven","Samuel Goldwyn Films",4340,-10,83,52,4791548,35,2015-10-15
"32","99 Homes","Broad Green Pictures",27000,NA,19,1421,27000,8,2015-10-02
"33","A Aa","Bluesky Cinemas",23020,78,95,242,2292346,14,2016-06-14
"34","A Bad Moms Christmas","STX Entertainment",7633,NA,144,53,72110659,72,2018-01-11
"35","A Beautiful Soul","Tyscot Manhaddon",3050,9,16,191,54008,10,2012-05-13
"36","A Bigger Splash","Fox Searchlight",8490,12,57,149,1901718,44,2016-06-16
"37","A Boy Called Po","Freestyle Releasing",260,18,10,26,4550,7,2017-09-07
"38","A Brilliant Young Mind","Samuel Goldwyn Films",7135,-59,3,2378,31408,3,2015-09-13
"39","A Cure for Wellness","20th Century Fox",3158,-17,88,36,8077739,21,2017-03-09
"40","A Dog’s Purpose","Universal",4785,29,103,46,64321890,105,2017-05-11
"41","A Five Star Life","Music Box Films",42389,NA,19,2231,251145,43,2014-08-29
"42","A Ghost Story","A24",2595,-32,21,124,1544924,52,2017-08-27
"43","A Good Day to Die Hard","20th Century Fox",1262,-9,31,41,67349198,99,2013-05-23
"44","A Haunted House","Open Road",29930,-35,169,177,40041683,52,2013-03-03
"45","A Haunted House 2","Open Road",3696,5,44,84,17329487,56,2014-06-12
"46","A Hologram for the King","Roadside Attractions",717,-10,6,120,4212494,77,2016-07-07
"47","A Kid Like Jake","IFC Films",447,3,8,56,33827,26,2018-06-26
"48","A La Mala","Lionsgate",5586,-24,68,82,3629842,35,2015-04-02
"49","A Little Chaos","Focus Features",1963,25,25,79,558173,28,2015-07-23
"50","A Long Way Off","Moving Visions Ente…",207,25,1,207,21363,83,2014-07-27
"51","A Million Ways to Die in Th…","Universal",26405,-6,188,140,42720965,49,2014-07-17
"52","A Monster Calls","Focus Features",3404,65,42,81,3740823,35,2017-01-26
"53","A Most Violent Year","A24",60500,NA,4,15125,60500,3,2015-01-02
"54","A Most Wanted Man","Roadside Attractions",208628,NA,333,627,15201760,39,2014-09-01
"55","A Question of Faith","Pure Flix Entertain…",95,-17,4,24,2587072,77,2017-12-14
"56","A Quiet Place","Paramount Pictures",17800,37,158,113,188024361,119,2018-08-02
"57","A Royal Night Out","Atlas Distribution",234,-67,3,78,228136,21,2015-12-24
"58","A Tale of Love and Darkness","Focus World",766,-8,21,36,572212,49,2016-10-06
"59","A Thousand Words","Paramount Pictures",4234,9,110,38,18450127,84,2012-05-31
"60","A Touch of Sin","Kino Lorber",115,NA,1,115,154120,386,2014-10-24
"61","A United Kingdom","Fox Searchlight",6847,16,57,120,3803698,63,2017-04-13
"62","A Very Harold & Kumar 3D Ch…","Warner Bros.",6400,4,125,51,35061031,70,2012-01-12
"63","A Walk Among the Tombstones","Universal",8705,-15,158,55,26017685,35,2014-10-23
"64","A Walk in the Woods","Broad Green Pictures",113955,-31,1370,83,27946593,30,2015-10-01
"65","A Woman’s Life","Kino Lorber",5742,123,2,2871,8313,2,2017-05-06
"66","A Wrinkle in Time","Walt Disney",8395,75,58,145,100478608,119,2018-07-05
"67","A Zombie Invasion","Afterlight Pictures",1170,NA,1,1170,1170,1,2013-12-12
"68","A.C.O.D.","Film Arcade",4736,-32,19,249,157121,24,2013-10-27
"69","A.X.L.","Global Road",155756,-18,1710,91,3784935,7,2018-08-30
"70","ABCD (Any Body Can Dance)","UTV Communications",68,70,2,34,222098,27,2013-03-06
"71","ABCD 2","UTV Communications",260,-68,8,33,892133,28,2015-07-16
"72","About Last Night","Sony Pictures",3469,-46,26,133,48500519,59,2014-04-13
"73","About Time","Universal",8103,71,97,84,15323921,56,2013-12-26
"74","Abracadabra","Sony Pictures",236,-42,10,24,3470,7,2017-09-21
"75","Abraham Lincoln: Vampire Hu…","20th Century Fox",724,-6,22,33,37519139,91,2012-09-20
"76","Absolutely Fabulous: The Movie","Fox Searchlight",5140,-14,38,135,4678295,42,2016-09-01
"77","Accident","Rialto Pictures",1868,12,1,1868,7666,4,2014-05-26
"78","Acrimony","Lionsgate",5873,8,80,73,43549096,70,2018-06-07
"79","Act of Valor","Relativity",681,134,19,36,70012847,105,2012-06-07
"80","Action Point","Paramount Pictures",79168,-42,2032,39,5059608,14,2018-06-14
"81","Addicted","Lionsgate",1861,-18,43,43,17390770,56,2014-12-04
"82","Admission","Focus Features",721,-21,12,60,18007317,77,2013-06-06
"83","Adrift","STX Entertainment",8253,67,75,110,31445011,63,2018-08-02
"84","Adult Beginners","RADiUS-TWC",145,NA,5,29,104808,42,2015-06-04
"85","Ae Dil Hai Mushkil","FIP",5137,11,53,97,4264983,28,2016-11-24
"86","Afflicted","CBS Films",4833,-31,34,142,121179,10,2014-04-13
"87","After Earth","Sony Pictures",18778,-22,77,244,60522097,80,2013-08-18
"88","After the Ball","Freestyle Releasing",385,-13,11,35,161820,63,2015-04-30
"89","Aftermath","Freestyle Releasing",167,-47,1,167,1124,3,2014-11-30
"90","Alan Partridge","Magnolia Pictures",139,NA,2,70,153285,53,2014-05-26
"91","Albert Nobbs","Roadside Attractions",20,-77,2,10,3014696,149,2012-05-17
"92","Alex Cross","Lionsgate",4586,-2,77,60,25888412,77,2013-01-03
"93","Alexander and the Terrible,…","Walt Disney",12049,-13,376,32,64190062,56,2014-12-04
"94","Alice Through the Looking G…","Walt Disney",1000,2,9,111,77042381,99,2016-09-02
"95","Alien: Covenant","20th Century Fox",1813,4,38,48,74249538,98,2017-08-24
"96","All Eyez on Me","Lionsgate",6807,-12,94,72,44922302,49,2017-08-03
"97","All I See is You","Open Road",426,-19,53,8,217644,14,2017-11-09
"98","All is Bright","Anchor Bay Entertai…",1541,-7,10,154,4556,3,2013-10-06
"99","All is Lost","Roadside Attractions",100,-67,5,20,6263670,133,2014-02-27
"100","All Saints","Sony Pictures",3620,-26,55,66,5794030,59,2017-10-22
"101","All the Money in the World","Sony Pictures",3769,-10,27,140,25106325,84,2018-03-18
"102","All These Sleepless Nights","The Orchard",43,-48,2,22,20762,42,2017-05-18
