"","Var.1","Release.Date","Movie","Production.Budget","Domestic.Gross","Worldwide.Gross"
"1",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"3",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"5",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"7",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"9",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"11",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"13",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"15",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"17",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"19",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"21",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"23",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"25",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"27",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"29",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"31",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"33",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"35",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"37",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"39",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"41",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"43",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"45",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"47",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"49",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"51",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"53",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"55",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"57",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"59",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"61",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"63",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"65",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"67",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"69",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"71",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"73",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"75",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"77",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"79",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"81",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"83",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"85",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"87",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"89",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"91",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"93",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"95",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"97",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"99",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"101",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"103",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"105",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"107",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"109",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"111",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"113",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"115",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"117",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"119",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"121",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"123",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"125",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"127",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"129",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"131",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"133",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"135",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"137",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"139",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"141",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"143",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"145",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"147",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"149",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"151",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"153",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"155",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"157",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
