"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"1","The Last Family","2016","N/A","30 Sep 2016","123 min","Biography, Drama","Jan P. Matuszynski","Robert Bolesto","Andrzej Seweryn, Dawid Ogrodnik, Aleksandra Konieczna, Andrzej Chyra","The story of a well-known artistic family: legendary painter Zdzislaw Beksinski, his wife Zofia and their son Tomasz, a highly-praised music critic and translator. Their lives were far from being usual.","Polish","Poland","18 wins & 12 nominations.","https://ia.media-imdb.com/images/M/MV5BNWMxMWEwYmItNjBmYi00YjZkLTg0NzUtM2M0YTljODg2NmU1XkEyXkFqcGdeQXVyMzgwNjg2MQ@@._V1_SX300.jpg","Internet Movie Database","7.6/10","Rotten Tomatoes","83%","Metacritic","69/100","69","7.6","2,086","tt5936692","movie","N/A","N/A","New Europe Film Sales","N/A","True",NA
"2","Legion of Brothers","2017","TV-14","19 May 2017","79 min","Documentary, War","Greg Barker","N/A","Jason Amerine, George W. Bush, Mark Nutsch, Clifford J. Richardson","Immediately after the 9/11 attacks, fewer than 100 US Troops were sent on a secret mission to overthrow the Taliban. What happens next is equal parts war-origin story and cautionary tale, ...","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BYjVmZTFkY2YtYTJkYS00NjcwLWIyMmEtMWM5YTRhMWMzODhjXkEyXkFqcGdeQXVyNTU1OTY2NjI@._V1_SX300.jpg","Internet Movie Database","5.7/10","Rotten Tomatoes","100%","Metacritic","77/100","77","5.7","218","tt6333088","movie","26 Jun 2017","N/A","Gravitas Ventures","N/A","True",NA
"3","Speed Sisters","2015","N/A","27 Jan 2017","78 min","Documentary, Adventure, Drama","Amber Fares","N/A","N/A","The Speed Sisters are the first all-women race car driving team in the Middle East. They're bold. They're fearless. And they're tearing up tracks all over Palestine.","Arabic","Palestine, Qatar, UK, Denmark, Canada, USA","3 wins & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNjA5MDEyMzY2M15BMl5BanBnXkFtZTgwNjAwNzI1NTE@._V1_SX300.jpg","Internet Movie Database","7.1/10","Rotten Tomatoes","91%","Metacritic","65/100","65","7.1","158","tt4154728","movie","10 Feb 2017","$2,753","SocDoc Studios","http://speedsisters.tv/","True",NA
"4","The Salesman","2016","PG-13","31 Aug 2016","124 min","Drama, Thriller","Asghar Farhadi","Asghar Farhadi","Shahab Hosseini, Taraneh Alidoosti, Babak Karimi, Mina Sadati","While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.","Persian, English","Iran, France","Won 1 Oscar. Another 9 wins & 19 nominations.","https://m.media-amazon.com/images/M/MV5BMTg2MTc0ODEwOV5BMl5BanBnXkFtZTgwNDAyOTY1MDI@._V1_SX300.jpg","Internet Movie Database","7.8/10","Rotten Tomatoes","96%","Metacritic","85/100","85","7.8","36,722","tt5186714","movie","02 May 2017","$11,067","Cohen Media Group","http://www.thesalesmanfilm.com/","True",NA
"5","The Daughter","2015","N/A","27 Jan 2017","96 min","Drama","Simon Stone","Simon Stone, Henrik Ibsen (inspired by ""The Wild Duck"")","Geoffrey Rush, Nicholas Hope, Sam Neill, Ewen Leslie","The story follows a man who returns home to discover a long-buried family secret, and whose attempts to put things right threaten the lives of those he left home years before.","English","Australia","10 wins & 26 nominations.","https://m.media-amazon.com/images/M/MV5BMTY2MzA0MTUyMl5BMl5BanBnXkFtZTgwMTkyMjEyNzE@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","75%","Metacritic","62/100","62","6.6","3,749","tt3922816","movie","N/A","$26,376","Kino Lorber","N/A","True",NA
"6","Resident Evil: The Final Chapter","2016","R","27 Jan 2017","107 min","Action, Horror, Sci-Fi, Thriller","Paul W.S. Anderson","Paul W.S. Anderson","Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts","Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.","English","UK, France, USA, Germany, South Africa, Canada, Japan, Australia","1 win & 3 nominations.","https://m.media-amazon.com/images/M/MV5BMTc0Mzc2OTQ0Ml5BMl5BanBnXkFtZTgwOTQ5MjE4MDI@._V1_SX300.jpg","Internet Movie Database","5.6/10","Rotten Tomatoes","36%","Metacritic","49/100","49","5.6","69,659","tt2592614","movie","16 May 2017","$26,844,692","Sony Pictures","http://www.sonypictures.com/movies/residentevilthefinalchapter/","True",NA
"7","The Age of Consequences","2016","TV-PG","27 Jan 2017","80 min","Documentary, News, War","Jared P. Scott","Jared P. Scott","Madeleine Albright, Michael Breen, Sharon Burke, Stephen Cheney","'The Hurt Locker' meets 'An Inconvenient Truth', THE AGE OF CONSEQUENCES investigates the impacts of climate change on increased resource scarcity, migration, and conflict through the lens ...","English","Germany, Spain, Jordan, USA","5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMmQ1ODA2OGQtMGYzOC00Y2RlLTg5ODEtODQwY2JhMmE0ZGE2XkEyXkFqcGdeQXVyNDI1Njc3NDA@._V1_SX300.jpg","Internet Movie Database","6.9/10","Rotten Tomatoes","67%","Metacritic","68/100","68","6.9","86","tt5098712","movie","N/A","N/A","PF Pictures","http://theageofconsequences.com/","True",NA
"8","Kung Fu Yoga","2017","NOT RATED","28 Jan 2017","107 min","Action, Adventure, Comedy, Fantasy, Mystery","Stanley Tong","Stanley Tong","Jackie Chan, Disha Patani, Amyra Dastur, Aarif Rahman","Two professors team up to locate a lost treasure and embark on an adventure that takes them from a Tibetan ice cave to Dubai, and to a mountain temple in India.","Mandarin, English","China, India, Nepal","N/A","https://m.media-amazon.com/images/M/MV5BNTAxZTQ4MmMtNDU2OS00NGRhLTllMmItZDQwODZlNTdjYzQyL2ltYWdlXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg","Internet Movie Database","5.2/10","Metacritic","50/100",NA,NA,"50","5.2","6,742","tt4217392","movie","N/A","N/A","N/A","N/A","True",NA
"9","Lost in Florence","2017","NOT RATED","27 Jan 2017","97 min","Adventure, Drama, Romance","Evan Oppenheimer","Evan Oppenheimer, Evan Oppenheimer","Brett Dalton, Stana Katic, Alessandra Mastronardi, Alessandro Preziosi","A heartbroken American in Florence gets involved in a dangerous local sport -- and with an alluring local woman.","English","Italy, USA","N/A","https://m.media-amazon.com/images/M/MV5BY2M1ZjFmYTUtMjdmYS00YTRlLTg4NjctNTg1NmU0ZGYxMTdhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjY0NzEzMTk@._V1_SX300.jpg","Internet Movie Database","5.1/10","Rotten Tomatoes","14%","Metacritic","28/100","28","5.1","571","tt3809276","movie","N/A","N/A","Black Sand Pictures","http://www.lostinflorencemovie.com/","True",NA
"10","Midsummer in Newtown","2016","N/A","27 Jan 2017","81 min","Documentary","Lloyd Kramer","N/A","N/A","Midsummer in Newtown is a testament to the transformative force of artistic expression to pierce through the shadow cast by trauma. In the wake of the Sandy Hook tragedy, one grieving ...","English","USA","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0YThlYjctNThiZS00N2QwLWIyN2MtN2VkZTU0YzUzMzcxXkEyXkFqcGdeQXVyMjgzNjg5MDM@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","94%","Metacritic","66/100","66","6.6","20","tt5598212","movie","N/A","N/A","Vulcan Productions","N/A","True",NA
